dummy,笨蛋
kit fox,狐狸
English setter,英语二传手
Siberian husky,西伯利亚雪橇犬
Australian terrier,澳大利亚梗
English springer,英国史宾格
grey whale,灰鲸
lesser panda,小熊猫
Egyptian cat,埃及猫
ibex,山羊
Persian cat,波斯猫
cougar,美洲狮
gazelle,瞪羚
porcupine,豪猪
sea lion,海狮
malamute,阿拉斯加
badger,獾
Great Dane,大丹犬
Walker hound,沃克猎犬
Welsh springer spaniel,威尔士激飞猎犬
whippet,惠比特犬
Scottish deerhound,苏格兰猎鹿犬
killer whale,虎鲸
mink,水貂
African elephant,非洲大象
Weimaraner,威玛猎犬
soft-coated wheaten terrier,软毛小麦梗
Dandie Dinmont,丹迪丁蒙梗
red wolf,红色的狼
Old English sheepdog,英国古代牧羊犬
jaguar,美洲虎
otterhound,奥达猎犬
bloodhound,寻血猎犬
Airedale,大狗
hyena,鬣狗
meerkat,猫鼬
giant schnauzer,巨型雪纳瑞
titi,伶猴
three-toed sloth,树懒
sorrel,酢浆草
black-footed ferret,黑脚貂
dalmatian,达尔马提亚
black-and-tan coonhound,黑褐猎浣熊犬
papillon,巴比
skunk,臭鼬
Staffordshire bullterrier,斯塔福德郡牛头梗
Mexican hairless,墨西哥无毛
Bouvier des Flandres,法兰德斯牧牛狗
weasel,黄鼠狼
miniature poodle,迷你型
Cardigan,开衫
malinois,马里努阿犬
bighorn,大角
fox squirrel,狐松鼠
colobus,疣
tiger cat,猫虎
Lhasa,拉萨
impala,黑斑羚
coyote,郊狼
Yorkshire terrier,约克郡梗
Newfoundland,纽芬兰岛
brown bear,棕熊
red fox,红狐狸
Norwegian elkhound,挪威猎
Rottweiler,罗威
hartebeest,狷羚
Saluki,萨路基
grey fox,灰色的狐狸
schipperke,舒柏奇犬
Pekinese,北京
Brabancon griffon,布拉班康梭结狮鹫
West Highland white terrier,西部高地白梗
Sealyham terrier,西里汉
guenon,长尾猴
mongoose,猫鼬
indri,大狐猴
tiger,老虎
Irish wolfhound,爱尔兰猎狼犬
wild boar,野猪
EntleBucher,Entlebucher
zebra,斑马
ram,猛撞
French bulldog,法国斗牛犬
orangutan,猩猩
basenji,巴辛吉
leopard,豹
Bernese mountain dog,伯恩山犬
Maltese dog,马尔济斯犬
Norfolk terrier,诺福克梗
toy terrier,玩具犬
vizsla,维兹拉犬
cairn,凯恩
squirrel monkey,松鼠猴
groenendael,牧羊
clumber,克拉姆
Siamese cat,暹罗猫
chimpanzee,黑猩猩
komondor,可蒙犬
Afghan hound,阿富汗猎犬
Japanese spaniel,日本猎犬
proboscis monkey,长鼻猴
guinea pig,豚鼠
white wolf,白狼
ice bear,冰结
gorilla,大猩猩
borzoi,猎狼
toy poodle,玩具贵宾犬
Kerry blue terrier,凯丽蓝梗
ox,公牛
Scotch terrier,苏格兰梗
Tibetan mastiff,藏獒
spider monkey,蜘蛛猴
Doberman,杜宾犬
Boston bull,波士顿公牛
Greater Swiss Mountain dog,大瑞士山地犬
Appenzeller,阿彭策尔
Shih-Tzu,西施
Irish water spaniel,爱尔兰水猎犬
Pomeranian,博美犬
Bedlington terrier,贝德灵顿梗
warthog,疣猪
Arabian camel,阿拉伯骆驼
siamang,合趾猿
miniature schnauzer,迷你雪纳瑞
collie,牧羊犬
golden retriever,金毛猎犬
Irish terrier,爱尔兰梗
affenpinscher,猴绠
Border collie,边境牧羊犬
hare,野兔
boxer,拳击手
silky terrier,丝毛梗
beagle,比格犬
Leonberg,莱昂贝格
German short-haired pointer,德国短毛猎犬
patas,猴
dhole,豺
baboon,狒狒
macaque,猕猴
Chesapeake Bay retriever,乞沙比克猎犬
bull mastiff,斗牛獒犬
kuvasz,哥威斯犬
capuchin,卷尾猴
pug,帕格
curly-coated retriever,卷毛寻回犬
Norwich terrier,诺维奇梗
flat-coated retriever,平毛寻回犬
hog,猪
keeshond,软件名称
Eskimo dog,爱斯基摩犬
Brittany spaniel,布列塔尼犬
standard poodle,标准贵宾犬
Lakeland terrier,莱克兰梗
snow leopard,雪豹
Gordon setter,戈登雪达犬
dingo,澳洲野狗
standard schnauzer,标准雪纳瑞
hamster,仓鼠
Tibetan terrier,西藏梗
Arctic fox,北极狐
wire-haired fox terrier,长毛猎狐梗
basset,巴吉度
water buffalo,水牛
American black bear,美洲黑熊
Angora,安哥拉
bison,野牛
howler monkey,吼猴
hippopotamus,河马
chow,食物
giant panda,大熊猫
American Staffordshire terrier,美国斯塔福德郡梗
Shetland sheepdog,喜乐蒂牧羊犬
Great Pyrenees,大白熊犬
Chihuahua,奇瓦瓦
tabby,斑猫
marmoset,狨
Labrador retriever,拉布拉多猎犬
Saint Bernard,圣伯纳德
armadillo,犰狳
Samoyed,萨摩耶
bluetick,法老
redbone,红骨
polecat,臭鼬
marmot,土拨鼠
kelpie,水鬼
gibbon,长臂猿
llama,美洲驼
miniature pinscher,迷你杜宾犬
wood rabbit,木兔
Italian greyhound,意大利灵缇
lion,狮子
cocker spaniel,可卡犬
Irish setter,爱尔兰雪达犬
dugong,儒艮
Indian elephant,印度大象
beaver,海狸
Sussex spaniel,萨塞克斯猎犬
Pembroke,彭布罗克
Blenheim spaniel,布莱尼姆猎犬
Madagascar cat,马达加斯加的猫
Rhodesian ridgeback,罗得西亚脊背犬
lynx,天猫
African hunting dog,非洲猎狗
langur,叶猴
Ibizan hound,依比沙猎犬
timber wolf,大灰狼
cheetah,猎豹
English foxhound,英国猎狐犬
briard,伯瑞犬
sloth bear,懒熊
Border terrier,边境梗
German shepherd,德国牧羊犬
otter,水獭
koala,考拉
tusker,塔斯克
echidna,针鼹
wallaby,袋鼠
platypus,鸭嘴兽
wombat,袋熊
revolver,左轮手枪
umbrella,雨伞
schooner,帆船
soccer ball,足球
accordion,手风琴
ant,蚂蚁
starfish,海星
chambered nautilus,珍珠鹦鹉螺
grand piano,大钢琴
laptop,笔记本电脑
strawberry,草莓
airliner,客机
warplane,战机
airship,飞艇
balloon,气球
space shuttle,航天飞机
fireboat,消防船
gondola,贡多拉
speedboat,快艇
lifeboat,救生艇
canoe,独木舟
yawl,快艇
catamaran,双体船
trimaran,三体船
container ship,集装箱船
liner,衬垫
pirate,海盗
aircraft carrier,航空母舰
submarine,潜艇
wreck,沉船
half track,半履带
tank,坦克
missile,导弹
bobsled,雪橇
dogsled,狗拉雪橇
bicycle-built-for-two,双人自行车
mountain bike,山地自行车
freight car,货运车
passenger car,客车
barrow,巴罗
shopping cart,购物车
motor scooter,摩托车
forklift,叉车
electric locomotive,电力机车
steam locomotive,蒸汽机车
amphibian,两栖动物
ambulance,救护车
beach wagon,沙滩车
cab,驾驶室
convertible,可转换
jeep,吉普车
limousine,豪华轿车
minivan,面包车
Model T,T模型
racer,赛车
sports car,跑车
go-kart,卡丁车
golfcart,golfcart
moped,助力车
snowplow,扫雪机
fire engine,消防车
garbage truck,垃圾车
pickup,拾取
tow truck,拖车
trailer truck,拖车
moving van,移动车
police van,警车
recreational vehicle,休闲车
streetcar,有轨电车
snowmobile,雪橇
tractor,拖拉机
mobile home,移动的家
tricycle,三轮车
unicycle,独轮车
horse cart,马车
jinrikisha,人力车
oxcart,牛车
bassinet,摇篮
cradle,摇篮
crib,婴儿床
four-poster,四张海报
bookcase,书柜
china cabinet,中国的内阁
medicine chest,药箱
chiffonier,衣柜
table lamp,台灯
file,文件
park bench,公园的长椅上
barber chair,理发椅
throne,宝座
folding chair,折叠椅
rocking chair,摇椅
studio couch,工作室的沙发
toilet seat,马桶座
desk,书桌
pool table,台球桌
dining table,餐桌
entertainment center,娱乐中心
wardrobe,衣柜
Granny Smith,青苹果,http://fitness.39.net/food/19777.html
orange,橙色
lemon,柠檬,35.0,http://fitness.39.net/food/2481.html
fig,图
pineapple,菠萝,50.0,http://fitness.39.net/food/12655.html
banana,香蕉,89.0,http://fitness.39.net/food/12836.html
jackfruit,菠萝蜜,103.0,http://fitness.39.net/food/2495.html
custard apple,蛋奶冻苹果,275.0,http://fitness.39.net/cook/17337.html
pomegranate,石榴,83.0,http://fitness.39.net/food/12636.html
acorn,橡子,387.0,http://fitness.39.net/food/11403.html
hip,髋关节
ear,耳朵
rapeseed,油菜
corn,玉米,196.0,http://fitness.39.net/food/1364.html
buckeye,七叶树
organ,器官
upright,直立的
chime,编钟
drum,鼓
gong,公
maraca,沙球
marimba,木琴
steel drum,钢筒
banjo,班卓琴
cello,大提琴
violin,小提琴
harp,竖琴
acoustic guitar,原声吉他
electric guitar,电吉他
cornet,短号
French horn,法国号
trombone,长号
harmonica,口琴
ocarina,陶笛
panpipe,排箫
bassoon,巴松管
oboe,双簧管
sax,萨克斯
flute,长笛
daisy,雏菊
yellow lady's slipper,黄女士拖鞋
cliff,悬崖
valley,山谷
alp,ALP
volcano,火山
promontory,海角
sandbar,沙洲
coral reef,珊瑚礁
lakeside,湖畔
seashore,海滨
geyser,间歇泉
hatchet,斧头
cleaver,切肉刀
letter opener,开信刀
plane,飞机
power drill,电钻
lawn mower,割草机
hammer,铁锤
corkscrew,开瓶器
can opener,开罐器
plunger,柱塞
screwdriver,螺丝刀
shovel,铲子
plow,犁
chain saw,链锯
cock,公鸡
hen,母鸡
ostrich,鸵鸟
brambling,燕雀
goldfinch,金翅雀
house finch,家朱雀
junco,碛
indigo bunting,靛蓝鹀
robin,罗宾
bulbul,鹎
jay,松鸦
magpie,喜鹊
chickadee,山雀
water ouzel,河鸟
kite,风筝
bald eagle,秃头鹰
vulture,秃鹫
great grey owl,乌林鸮
black grouse,黑琴鸡
ptarmigan,雷鸟
ruffed grouse,松鸡
prairie chicken,草原鸡
peacock,孔雀
quail,鹌鹑
partridge,鹧鸪
African grey,非洲灰
macaw,金刚鹦鹉
sulphur-crested cockatoo,葵花鹦鹉
lorikeet,吸蜜鹦鹉
coucal,鸦鹃
bee eater,蜂虎
hornbill,犀鸟
hummingbird,蜂鸟
jacamar,食虫鸟
toucan,巨嘴鸟
drake,公鸭
red-breasted merganser,红胸秋沙鸭
goose,鹅
black swan,黑天鹅
white stork,白鹳
black stork,黑鹳
spoonbill,琵鹭
flamingo,火烈鸟
American egret,美洲白鹭
little blue heron,小蓝鹭
bittern,卤水
crane,起重机
limpkin,秧鹤
American coot,水鸡
bustard,鸨
ruddy turnstone,翻石鹬
red-backed sandpiper,红背鹬
redshank,红脚鹬
dowitcher,半蹼鹬
oystercatcher,蛎鹬
European gallinule,欧洲的水鸡
pelican,鹈鹕
king penguin,国王企鹅
albatross,信天翁
great white shark,大白鲨
tiger shark,虎鲨
hammerhead,锤头
electric ray,电雷
stingray,黄貂鱼
barracouta,杖鱼
coho,银
tench,丁
goldfish,金鱼
eel,鳗鱼
rock beauty,岩石之美
anemone fish,海葵鱼
lionfish,狮子鱼,116.0,http://fitness.39.net/cook/12384.html
puffer,河豚,81.0,http://fitness.39.net/food/4148.html
sturgeon,鲟鱼,105.0,http://fitness.39.net/food/10550.html
gar,雀鳝
loggerhead,海龟
leatherback turtle,棱皮龟
mud turtle,泥龟
terrapin,鳖
box turtle,箱龟
banded gecko,条纹壁虎
common iguana,普通鬣蜥
American chameleon,美国的变色龙
whiptail,鞭尾蜥蜴
agama,阿含经
frilled lizard,皱褶蜥蜴
alligator lizard,鳄蜥
Gila monster,Gila的怪物
green lizard,绿蜥蜴
African chameleon,非洲的变色龙
Komodo dragon,科莫多龙
triceratops,三角龙
African crocodile,非洲鳄鱼
American alligator,美国短吻鳄
thunder snake,雷蛇
ringneck snake,灵内克的蛇
hognose snake,猪鼻蛇
green snake,绿色的蛇
king snake,大王蛇
garter snake,乌梢蛇
water snake,水蛇
vine snake,藤蛇
night snake,夜蛇
boa constrictor,大蟒蛇
rock python,岩蟒
Indian cobra,印度眼镜蛇
green mamba,曼巴蛇
sea snake,海蛇
horned viper,角蝰
diamondback,小菜
sidewinder,响尾蛇
European fire salamander,欧洲火蝾螈
common newt,常见的蝾螈
eft,EFT
spotted salamander,斑点蝾螈
axolotl,蝾螈
bullfrog,牛蛙,81.0,http://fitness.39.net/food/2956.html
tree frog,树蛙
tailed frog,尾蟾
whistle,吹口哨
wing,翼
paintbrush,画笔
hand blower,手摇鼓风机
oxygen mask,氧气面罩
snorkel,通气管
loudspeaker,扬声器
microphone,麦克风
screen,屏幕
mouse,鼠标
electric fan,电风扇
oil filter,滤油器
strainer,过滤器
space heater,空间加热器
stove,火炉
guillotine,断头台
barometer,气压计
rule,规则
odometer,里程表
scale,规模
analog clock,模拟时钟
digital clock,数字时钟
wall clock,墙上的时钟
hourglass,沙漏
sundial,日晷
parking meter,停车收费表
stopwatch,秒表
digital watch,数字手表
stethoscope,听诊器
syringe,注射器
magnetic compass,磁罗盘
binoculars,双筒望远镜
projector,投影机
sunglasses,太阳镜
loupe,放大镜
radio telescope,射电望远镜
bow,弓
cannon [ground],大炮[地]
assault rifle,突击步枪
rifle,步枪
projectile,弹丸
computer keyboard,电脑键盘
typewriter keyboard,打字机键盘
crane,起重机
lighter,打火机
abacus,算盘
cash machine,提款机
slide rule,计算尺
desktop computer,台式电脑
